      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    1
S001G_G     .UVDATA.   1  Disk= 1    SN Table version   2
Title: AIPS UV DATA FILE SOLUTION TABLE
 
Created by      FRING on 22-OCT-2021 14:37:36
Last written by Obit  on 22-OCT-2021 15:20:08
Ncol 26  Nrow 153    Sort cols:  1 (ASCEND)  4 (ASCEND)
    Table has     8 keyword-value pairs:
   NO_ANT   =            5
   NO_POL   =            2
   NO_IF    =            8
   NO_NODES =            0
   MGMOD    =  1.0000000000000D+00
   APPLIED  =  F
   REVISION =           11
   SNORIGIN =            0
   Table format incompatable with FITS ASCII tables
 
      47                                                                      -2.945E-13          2
      47                                                                      -2.938E-13          2
      47                                                                      -2.931E-13          2
      47                                                                      -2.924E-13          2
      47                                                                      -2.917E-13          2
      48      7.573805D-01           14             5         -4.736E-11       2.139E-13          2
      48                                                                       2.134E-13          2
      48                                                                       2.129E-13          2
      48                                                                       2.124E-13          2
      48                                                                       2.119E-13          2
      48                                                                       2.113E-13          2
      48                                                                       2.108E-13          2
      48                                                                       2.103E-13          2
      49      7.585958D-01           15             2               INDE            INDE          2
      49                                                                            INDE          2
      49                                                                            INDE          2
      49                                                                            INDE          2
      49                                                                            INDE          2
      49                                                                            INDE          2
      49                                                                            INDE          2
      49                                                                            INDE          2
      50      7.585958D-01           15             3               INDE            INDE          2
      50                                                                            INDE          2
      50                                                                            INDE          2
      50                                                                            INDE          2
      50                                                                            INDE          2
      50                                                                            INDE          2
      50                                                                            INDE          2
      50                                                                            INDE          2
      51      7.585958D-01           15             4               INDE            INDE          2
      51                                                                            INDE          2
      51                                                                            INDE          2
      51                                                                            INDE          2
      51                                                                            INDE          2
      51                                                                            INDE          2
      51                                                                            INDE          2
      51                                                                            INDE          2
      52      7.602508D-01           16             2          0.000E+00       0.000E+00          2
      52                                                                       0.000E+00          2
      52                                                                       0.000E+00          2
      52                                                                       0.000E+00          2
      52                                                                       0.000E+00          2
      52                                                                       0.000E+00          2
      52                                                                       0.000E+00          2
      52                                                                       0.000E+00          2
      53      7.602508D-01           16             3         -9.770E-10      -7.414E-15          2
      53                                                                      -7.396E-15          2
      53                                                                      -7.378E-15          2
      53                                                                      -7.360E-15          2
      53                                                                      -7.342E-15          2
      53                                                                      -7.324E-15          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page    9
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      53                                                                      -7.307E-15          2
      53                                                                      -7.289E-15          2
      54      7.602508D-01           16             4          4.072E-11      -9.340E-15          2
      54                                                                      -9.317E-15          2
      54                                                                      -9.295E-15          2
      54                                                                      -9.272E-15          2
      54                                                                      -9.250E-15          2
      54                                                                      -9.228E-15          2
      54                                                                      -9.206E-15          2
      54                                                                      -9.184E-15          2
      55      7.602508D-01           16             5          8.816E-10      -2.420E-13          2
      55                                                                      -2.414E-13          2
      55                                                                      -2.408E-13          2
      55                                                                      -2.402E-13          2
      55                                                                      -2.396E-13          2
      55                                                                      -2.391E-13          2
      55                                                                      -2.385E-13          2
      55                                                                      -2.379E-13          2
      56      7.646837D-01           17             2          0.000E+00       0.000E+00          2
      56                                                                       0.000E+00          2
      56                                                                       0.000E+00          2
      56                                                                       0.000E+00          2
      56                                                                       0.000E+00          2
      56                                                                       0.000E+00          2
      56                                                                       0.000E+00          2
      56                                                                       0.000E+00          2
      57      7.646837D-01           17             3         -9.799E-10       4.346E-14          2
      57                                                                       4.335E-14          2
      57                                                                       4.325E-14          2
      57                                                                       4.314E-14          2
      57                                                                       4.304E-14          2
      57                                                                       4.293E-14          2
      57                                                                       4.283E-14          2
      57                                                                       4.273E-14          2
      58      7.646837D-01           17             4         -1.945E-10       1.309E-14          2
      58                                                                       1.306E-14          2
      58                                                                       1.302E-14          2
      58                                                                       1.299E-14          2
      58                                                                       1.296E-14          2
      58                                                                       1.293E-14          2
      58                                                                       1.290E-14          2
      58                                                                       1.287E-14          2
      59      7.646837D-01           17             5          6.997E-10       9.401E-14          2
      59                                                                       9.378E-14          2
      59                                                                       9.355E-14          2
      59                                                                       9.333E-14          2
      59                                                                       9.310E-14          2
      59                                                                       9.288E-14          2
      59                                                                       9.266E-14          2
      59                                                                       9.243E-14          2
      60      7.697647D-01           18             2          0.000E+00       0.000E+00          2
      60                                                                       0.000E+00          2
      60                                                                       0.000E+00          2
      60                                                                       0.000E+00          2
      60                                                                       0.000E+00          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page   10
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      60                                                                       0.000E+00          2
      60                                                                       0.000E+00          2
      60                                                                       0.000E+00          2
      61      7.697647D-01           18             3         -1.003E-09      -1.333E-14          2
      61                                                                      -1.330E-14          2
      61                                                                      -1.326E-14          2
      61                                                                      -1.323E-14          2
      61                                                                      -1.320E-14          2
      61                                                                      -1.317E-14          2
      61                                                                      -1.314E-14          2
      61                                                                      -1.311E-14          2
      62      7.697647D-01           18             4         -1.978E-10       1.546E-13          2
      62                                                                       1.542E-13          2
      62                                                                       1.538E-13          2
      62                                                                       1.534E-13          2
      62                                                                       1.531E-13          2
      62                                                                       1.527E-13          2
      62                                                                       1.523E-13          2
      62                                                                       1.520E-13          2
      63      7.697647D-01           18             5          7.329E-10      -3.293E-13          2
      63                                                                      -3.285E-13          2
      63                                                                      -3.277E-13          2
      63                                                                      -3.269E-13          2
      63                                                                      -3.261E-13          2
      63                                                                      -3.253E-13          2
      63                                                                      -3.246E-13          2
      63                                                                      -3.238E-13          2
      64      7.766050D-01           19             2          0.000E+00       0.000E+00          2
      64                                                                       0.000E+00          2
      64                                                                       0.000E+00          2
      64                                                                       0.000E+00          2
      64                                                                       0.000E+00          2
      64                                                                       0.000E+00          2
      64                                                                       0.000E+00          2
      64                                                                       0.000E+00          2
      65      7.766050D-01           19             3         -8.661E-10       1.216E-13          2
      65                                                                       1.213E-13          2
      65                                                                       1.210E-13          2
      65                                                                       1.207E-13          2
      65                                                                       1.204E-13          2
      65                                                                       1.201E-13          2
      65                                                                       1.198E-13          2
      65                                                                       1.195E-13          2
      66      7.766050D-01           19             4         -1.479E-09       1.679E-13          2
      66                                                                       1.675E-13          2
      66                                                                       1.671E-13          2
      66                                                                       1.667E-13          2
      66                                                                       1.663E-13          2
      66                                                                       1.659E-13          2
      66                                                                       1.655E-13          2
      66                                                                       1.651E-13          2
      67      7.766050D-01           19             5          7.379E-10      -7.847E-14          2
      67                                                                      -7.828E-14          2
      67                                                                      -7.809E-14          2
      67                                                                      -7.790E-14          2
      shex6      PRTAB(31DEC19)    ****               22-OCT-2021   15:20:08               Page   11
     ROW      TIME               SOURCE ID      ANTENNA       MBDELAY1        RATE 1          REFANT 1
  NUMBER      DAYS                                            SECONDS         SEC/SEC
 
      67                                                                      -7.772E-14          2
      67                                                                      -7.753E-14          2
      67                                                                      -7.734E-14          2
      67                                                                      -7.716E-14          2
      68      7.781094D-01           20             2          0.000E+00       0.000E+00          2
      68                                                                       0.000E+00          2
      68                                                                       0.000E+00          2
      68                                                                       0.000E+00          2
      68                                                                       0.000E+00          2
      68                                                                       0.000E+00          2
      68                                                                       0.000E+00          2
      68                                                                       0.000E+00          2
      69      7.781094D-01           20             3         -8.745E-10       9.940E-14          2
      69                                                                       9.916E-14          2
      69                                                                       9.892E-14          2
      69                                                                       9.868E-14          2
      69                                                                       9.845E-14          2
      69                                                                       9.821E-14          2
      69                                                                       9.797E-14          2
      69                                                                       9.774E-14          2
      70      7.781094D-01           20             5          4.639E-10       1.489E-13          2
